GENUS
Acetabula
Afroboletus
Afrocastellanoa
Albatrellopsis
Albatrellus
Alessioporus
Aleurina
Alnicola
Alpova
Amanita
Amanitopsis
Amarrendia
Amphinema
Amylascus
Anamika
Andebbia
Arcangeliella
Aroramyces
Astraeus
Astrosporina
Aureoboletus
Auritella
Australopilus
Austroboletus
Austrogaster
Austrogautieria
Austropaxillus
Balsamia
Bankera
Baorangia
Barssia
Binderoboletus
Boletellus
Boletinus
Boletochaete
Boletopsis
Boletus
Borofutus
Bothia
Brauniellula
Butyriboletus
Byssocorticium
Byssoporia
Caloboletus
Calostoma
Cantharellus
Carolinigaster
Castellanea
Castoreum
Catathelasma
Cazia
Cenococcum
Chamonixia
Chiua
Chlorogaster
Choiromyces
Chondrogaster
Chroogomphus
Circulocolumella
Clathrogaster
Clavulina
Coltricia
Coltriciella
Corditubera
Corneroboletus
Corneroporus
Cortinarius
Costatisporus
Craterellus
Crocinoboletus
Cuphocybe
Cupreoboletus
Cyanoboletus
Cystangium
Cystogomphus
Delastria
Densospora
Dermocybe
Descolea
Descomyces
Destuntzia
Dingleya
Diplocystis
Durianella
Elaphomyces
Endogonopsis
Erythrophylloporus
Exsudoporus
Favillea
Fevansia
Fischerula
Fistulinella
Fuscoboletinus
Galactinia
Gallacea
Gastroboletus
Gastroleccinum
Gastrosuillus
Gautieria
Genabea
Genea
Geomorium
Geopora
Gigasperma
Gilkeya
Glischroderma
Gloeocantharellus
Gomphidius
Gomphogaster
Gomphus
Goossensia
Gummiglobus
Gummivena
Guyanagarika
Guyanaporus
Gymnogaster
Gymnohydnotrya
Gymnomyces
Gymnopaxillus
Gyrodon
Gyroporus
Hallingea
Harrya
Hebeloma
Heimiella
Heimioporus
Heliogaster
Helvella
Helvellosebacina
Hemileccinum
Hoehnelogaster
Horakiella
Hortiboletus
Hourangia
Humaria
Hydnangium
Hydnellum
Hydnobolites
Hydnoplicata
Hydnotrya
Hydnotryopsis
Hydnum
Hygrophorus
Hymenoboletus
Hymenogaster
Hysterangium
Imaia
Imleria
Imperator
Indoporus
Inocybe
Ionosporus
Jimgerdemannia
Jimtrappea
Kalapuya
Kombocles
Labyrinthomyces
Laccaria
Lactarius
Lactifluus
Laeticutis
Lanmaoa
Leccinellum
Leccinum
Leotia
Leucangium
Leucogaster
Leucophleps
Longistriata
Luteoamylascus
Lyophyllum
Maccagnia
Mackintoshia
Macowanites
Malajczukia
Mallocybe
Marcelleina
Martellia
Marthanella
Melanogaster
Membranomyces
Mesophellia
Mucilopilus
Muciturbo
Multifurca
Mycoamaranthus
Mycoclelandia
Mycolevis
Myrmecocystis
Naucoria
Neoalbatrellus
Neoalpova
Neoboletus
Nigroboletus
Nothocastoreum
Nothojafnea
Octaviania
Otidea
Otideopsis
Pachyphlodes
Pachyphloeus
Paradoxa
Paragyrodon
Parascutellinia
Parastereopsis
Parvixerocomus
Paxillogaster
Paxillus
Phaeangium
Phaeocollybia
Phaeohelotium
Phallogaster
Phellodon
Phlebogaster
Phylloboletellus
Phyllobolites
Phylloporopsis
Phylloporus
Picoa
Piloderma
Pisolithus
Plicariella
Podohydnangium
Polyozellus
Polyporoletus
Polypus
Porphyrellus
Porpoloma
Protogautieria
Protoglossum
Psathyloma
Pseudoaustroboletus
Pseudoboletus
Pseudocraterellus
Pseudogomphus
Pseudotomentella
Pseudotulostoma
Psiloboletinus
Pterygellus
Pulchroboletus
Pulveroboletus
Pulvinula
Pustularia
Quadrispora
Ramaria
Reddellomyces
Retiboletus
Rheubarbariboletus
Rhizopogon
Rhodactina
Rhodoscypha
Rhopalogaster
Riessia
Riessiella
Rossbeevera
Royoungia
Rubinoboletus
Rubroboletus
Rugiboletus
Ruhlandiella
Russula
Sarcodon
Sarcosphaera
Scabropezia
Scleroderma
Sclerogone
Scutiger
Sebacina
Sepultaria
Setchelliogaster
Setogyroporus
Singerocomus
Singeromyces
Sinoboletus
Solioccasus
Sphaerosoma
Sphaerosporella
Sphaerozone
Spongiforma
Spongispora
Stephanopus
Stouffera
Strobilomyces
Suillellus
Suillus
Sutorius
Tarzetta
Temperantia
Tengioboletus
Terfezia
Thaxterogaster
Thelephora
Timgrovea
Tirmania
Tomentella
Tomentellopsis
Trappeindia
Tremellodendron
Tremellodendropsis
Tremellogaster
Tremelloscypha
Tremellostereum
Tretomyces
Tricholoma
Trichophaea
Truncocolumella
Tubariomyces
Tuber
Tubosaeta
Turbinellus
Turmalinea
Tylocinum
Tylopilus
Tylospora
Ulurua
Underwoodia
Veligaster
Veloporphyrellus
Wakefieldia
Wilcoxina
Wynnella
Xanthoconium
Xeroceps
Xerocomellus
Xerocomus
Zangia
Zelleromyces
